subject_id,n_positive,n_negative,train_session,train_split
1,60,2340,1,train
2,60,2340,1,train
3,60,2340,1,train
4,60,2340,1,train
5,60,2340,1,train
6,60,2340,1,train
7,60,2340,1,train
8,60,2340,1,train
9,60,2340,1,train
10,60,2340,1,train
11,60,2340,1,train
12,60,2340,1,train
13,60,2340,1,train
14,60,2340,1,train
15,60,2340,1,train
16,60,2340,1,train
17,60,2340,1,train
18,60,2340,1,train
19,60,2340,1,train
20,60,2340,1,train
21,60,2340,1,train
22,60,2340,1,train
23,60,2340,1,train
24,60,2340,1,train
25,60,2340,1,train
26,60,2340,1,train
27,60,2340,1,train
28,60,2340,1,train
29,60,2340,1,train
30,60,2340,1,train
31,60,2340,1,train
32,60,2340,1,train
33,60,2340,1,train
34,60,2340,1,train
35,60,2340,1,train
36,60,2340,1,train
37,60,2340,1,train
38,60,2340,1,train
39,60,2340,1,train
40,60,2340,1,train
